Country Name,Country Code,Indicator Name,Indicator Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Africa Eastern and Southern,AFE,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,66.75290475,66.69640325,66.65492154,66.62526794,66.65206365,66.68709501,66.68927604,66.753986,66.79922897,66.88564926,66.93676361,66.85547176,67.06291254,67.46192381,67.65906309,67.6440543,67.65977912,67.83477191,67.42317929,66.65866224,66.56551797,66.57956454,66.70068506,66.69712085,66.75747367,66.69039883,66.66577486,66.60845908,66.46462404,64.1872026
Afghanistan,AFG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,41.86700058,41.78900146,41.81499863,41.77899933,41.5320015,41.57899857,41.62400055,41.59799957,41.59899902,41.61800003,41.6969986,41.57799911,41.72000122,41.86999893,41.82799911,41.77999878,41.58800125,41.60599899,41.45199966,41.41400146,41.65000153,41.63399887,41.76599884,41.85200119,41.92100143,41.96900177,42.02099991,42.0929985,42.11899948,36.71099854
Africa Western and Central,AFW,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,63.30570542,63.16919186,63.08663252,62.99676915,62.90431564,62.81066985,62.71027078,62.58659564,62.34137979,62.19005716,62.14325436,62.10925131,62.03691253,61.98173095,61.87432949,61.83669481,61.73936964,61.52917645,61.29522032,61.05315274,60.93396077,59.56017281,58.36112313,57.93566953,57.85208523,57.18085978,56.80268,56.72617089,56.66936181,55.16608302
Angola,AGO,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,74.1309967,74.13999939,74.1230011,74.16799927,74.18699646,74.20400238,74.20300293,74.19799805,74.18699646,74.17700195,74.19400024,74.21600342,74.20300293,74.21800232,74.23000336,74.26100159,74.29799652,74.32499695,74.33899689,69.97399902,71.6289978,71.64900208,71.63600159,71.62599945,71.59799957,71.5719986,71.55599976,71.51899719,71.48300171,69.80200195
Albania,ALB,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,58.32500076,45.97800064,48.39699936,50.62099838,53.60699844,53.35800171,52.30099869,49.68799973,48.38700104,49.04499817,48.80099869,48.94300079,48.60800171,48.11800003,47.41600037,46.70100021,45.60599899,46.24300003,47.47299957,47.42200089,51.86000061,49.36500168,44.10100174,43.77799988,45.95999908,48.47299957,50.15200043,52.00600052,53.39199829,50.0890007
Arab World,ARB,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,42.22645701,41.94660577,41.80878582,41.94252197,41.66552876,41.93915864,41.96468474,41.72625686,41.95974366,41.41819083,40.99581906,40.39818253,40.60162564,41.2659299,41.55693581,42.19542551,42.59398679,42.71089321,42.89696778,43.34858514,42.71144208,42.77459948,42.88751377,42.60373116,42.38893673,42.48009751,41.90050708,41.75663316,41.99234218,40.31608167
United Arab Emirates,ARE,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,73.17900085,73.41600037,73.73600006,73.77600098,73.77799988,73.94300079,74.12000275,74.23699951,74.41100311,74.61799622,74.66300201,74.77200317,74.91899872,75.02400208,75.08200073,75.50800323,75.84100342,76.22499847,76.54699707,76.97799683,77.39199829,77.75499725,78.13500214,78.50700378,78.88500214,79.24900055,78.78299713,77.33699799,77.41500092,73.27300262
Argentina,ARG,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,56.69599915,56.83499908,55.25699997,54.68999863,49.93700027,51.38100052,53.45600128,55.08499908,53.74900055,52.9679985,50.98400116,48.39699936,51.67699814,53.56600189,54.43000031,55.57099915,55.94100189,55.69200134,55.52299881,55.54899979,56.29499817,56.0019989,55.70299911,55.11899948,54.77600098,54.23300171,53.89899826,54.10499954,54.35699844,49.59999847
Armenia,ARM,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,52.48500061,52.37900162,50.51200104,49.81800079,49.76499939,48.37799835,47.57799911,48.32500076,47.36500168,47.44599915,47.51800156,47.5909996,47.68799973,47.82099915,47.89699936,48.00600052,48.10599899,45.39500046,43.79800034,45.58100128,47.01900101,47.90800095,48.79199982,47.4620018,46.47700119,45.90999985,45.61899948,43.08399963,44.19499969,40.39199829
Australia,AUS,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",SL.EMP.TOTL.SP.ZS,57.0909996,56.11500168,55.66199875,56.81299973,58.15800095,58.11399841,57.8429985,58.16199875,58.44800186,59.17499924,59.0340004,59.32400131,59.81900024,60.04000092,61.1609993,61.66400146,62.32500076,62.70999908,61.79199982,61.98300171,62.09700012,61.74900055,61.26399994,60.76599884,61.06700134,61.16600037,61.52700043,62.15200043,62.54700089,60.82899857
